Item,Enchantment,Description,Gems,Source
Amulet,Enchantment Stabbing Thirst,Allocates Stabbing Thirst,,Blight Oils
Amulet,Enchantment Stamina,Allocates Stamina,,Blight Oils
Amulet,Enchantment Static Blows,Allocates Static Blows,,Blight Oils
Amulet,Enchantment Steadfast,Allocates Steadfast,,Blight Oils
Amulet,Enchantment Steelwood Stance,Allocates Steelwood Stance,,Blight Oils
Amulet,Enchantment Storm Weaver,Allocates Storm Weaver,,Blight Oils
Amulet,Enchantment Strong Arm,Allocates Strong Arm,,Blight Oils
Amulet,Enchantment Stun Mastery,Allocates Stun Mastery,,Blight Oils
Amulet,Enchantment Successive Detonations,Allocates Successive Detonations,,Blight Oils
Amulet,Enchantment Surveillance,Allocates Surveillance,,Blight Oils
Amulet,Enchantment Survivalist,Allocates Survivalist,,Blight Oils
Amulet,Enchantment Swagger,Allocates Swagger,,Blight Oils
Amulet,Enchantment Swift Skewering,Allocates Swift Skewering,,Blight Oils
Amulet,Enchantment Swift Venoms,Allocates Swift Venoms,,Blight Oils
Amulet,Enchantment Tempest Blast,Allocates Tempest Blast,,Blight Oils
Amulet,Enchantment Testudo,Allocates Testudo,,Blight Oils
Amulet,Enchantment Thick Skin,Allocates Thick Skin,,Blight Oils
Amulet,Enchantment Thief's Craft,Allocates Thief's Craft,,Blight Oils
Amulet,Enchantment Thrill Seeker,Allocates Thrill Seeker,,Blight Oils
Amulet,Enchantment Throatseeker,Allocates Throatseeker,,Blight Oils
Amulet,Enchantment Thunderous Salvos,Allocates Thunderous Salvos,,Blight Oils
Amulet,Enchantment Tireless,Allocates Tireless,,Blight Oils
Amulet,Enchantment Titanic Impacts,Allocates Titanic Impacts,,Blight Oils
Amulet,Enchantment Totemic Zeal,Allocates Totemic Zeal,,Blight Oils
Amulet,Enchantment Toxic Strikes,Allocates Toxic Strikes,,Blight Oils
Amulet,Enchantment Tribal Fury,Allocates Tribal Fury,,Blight Oils
Amulet,Enchantment Trick Shot,Allocates Trick Shot,,Blight Oils
Amulet,Enchantment Trickery,Allocates Trickery,,Blight Oils
Amulet,Enchantment True Strike,Allocates True Strike,,Blight Oils
Amulet,Enchantment Twin Terrors,Allocates Twin Terrors,,Blight Oils
Amulet,Enchantment Undertaker,Allocates Undertaker,,Blight Oils
Amulet,Enchantment Unnatural Calm,Allocates Unnatural Calm,,Blight Oils
Amulet,Enchantment Unpredictable Offensive,Allocates Unpredictable Offensive,,Blight Oils
Amulet,Enchantment Unstable Munitions,Allocates Unstable Munitions,,Blight Oils
Amulet,Enchantment Utmost Intellect,Allocates Utmost Intellect,,Blight Oils
Amulet,Enchantment Utmost Might,Allocates Utmost Might,,Blight Oils
Amulet,Enchantment Utmost Swiftness,Allocates Utmost Swiftness,,Blight Oils
Amulet,Enchantment Versatile Stance,Allocates Versatile Stance,,Blight Oils
Amulet,Enchantment Versatility,Allocates Versatility,,Blight Oils
Amulet,Enchantment Vigour,Allocates Vigour,,Blight Oils
Amulet,Enchantment Vitality Void,Allocates Vitality Void,,Blight Oils
Amulet,Enchantment Void Barrier,Allocates Void Barrier,,Blight Oils
Amulet,Enchantment Volatile Mines,Allocates Volatile Mines,,Blight Oils
Amulet,Enchantment Wandslinger,Allocates Wandslinger,,Blight Oils
Amulet,Enchantment Warrior's Blood,Allocates Warrior's Blood,,Blight Oils
Amulet,Enchantment Watchtowers,Allocates Watchtowers,,Blight Oils
Amulet,Enchantment Weapon Artistry,Allocates Weapon Artistry,,Blight Oils
Amulet,Enchantment Weathered Hunter,Allocates Weathered Hunter,,Blight Oils
Amulet,Enchantment Whirling Barrier,Allocates Whirling Barrier,,Blight Oils
Amulet,Enchantment Whispers of Doom,Allocates Whispers of Doom,,Blight Oils
Amulet,Enchantment Will of Blades,Allocates Will of Blades,,Blight Oils
Amulet,Enchantment Window of Opportunity,Allocates Window of Opportunity,,Blight Oils
Amulet,Enchantment Winter Spirit,Allocates Winter Spirit,,Blight Oils
Amulet,Enchantment Wisdom of the Glade,Allocates Wisdom of the Glade,,Blight Oils
Amulet,Enchantment Wrecking Ball,Allocates Wrecking Ball,,Blight Oils
Amulet,Enchantment Written in Blood,Allocates Written in Blood,,Blight Oils
Helmet,Enchantment Ancestral Cry Minimum Power 1,Ancestral Cry has a minimum of 10 Power,Ancestral Cry,Eternal Labyrinth
Helmet,Enchantment Ancestral Protector Damage 1,Ancestral Protector Totem deals 25% increased Damage,Ancestral Protector,Merciless Labyrinth
Helmet,Enchantment Ancestral Protector Damage 2,Ancestral Protector Totem deals 40% increased Damage,Ancestral Protector,Eternal Labyrinth
Helmet,Enchantment Ancestral Protector Attack Speed 1,Ancestral Protector Totem grants 12% increased Attack Speed while Active,Ancestral Protector,Merciless Labyrinth
Helmet,Enchantment Ancestral Protector Attack Speed 2,Ancestral Protector Totem grants 18% increased Attack Speed while Active,Ancestral Protector,Eternal Labyrinth
Helmet,Enchantment Ancestor Warchief Melee Damage 1,Ancestral Warchief Totem grants 20% increased Melee Damage while Active,Ancestral Warchief,Merciless Labyrinth
Helmet,Enchantment Ancestor Warchief Melee Damage 2,Ancestral Warchief Totem grants 30% increased Melee Damage while Active,Ancestral Warchief,Eternal Labyrinth
Helmet,Enchantment Anger Reservation 1,Anger has 10% reduced Reservation,Anger,Merciless Labyrinth
Helmet,Enchantment Anger Reservation 2,Anger has 15% reduced Reservation,Anger,Eternal Labyrinth
Helmet,Enchantment Animate Guardian Damage 1,Animated Guardians deal 25% increased Damage,Animate Guardian,Merciless Labyrinth
Helmet,Enchantment Animate Guardian Damage 2,Animated Guardians deal 40% increased Damage,Animate Guardian,Eternal Labyrinth
Helmet,Enchantment Animate Weapon Damage 1,Animated Weapons deal 25% increased Damage,Animate Weapon,Merciless Labyrinth
Helmet,Enchantment Animate Weapon Damage 2,Animated Weapons deal 40% increased Damage,Animate Weapon,Eternal Labyrinth
Helmet,Enchantment Arc Num Of Additional Projectiles In Chain 1,Arc Chains an additional time,Arc,Eternal Labyrinth
Helmet,Enchantment Arc Damage Per Chain 2,Arc deals 12% increased Damage for each time it has Chained,Arc,Eternal Labyrinth
Helmet,Enchantment Arc Damage Per Chain 1,Arc deals 8% increased Damage for each time it has Chained,Arc,Merciless Labyrinth
Helmet,Enchantment Arc Shock Chance 1,Arc has +20% chance to Shock,Arc,Merciless Labyrinth
Helmet,Enchantment Arc Shock Chance 2,Arc has +30% chance to Shock,Arc,Eternal Labyrinth
Helmet,Enchantment Arcane Cloak Grants Life Regeneration 1,Arcane Cloak grants Life Regeneration equal to 15% of Mana Spent per Second,Arcane Cloak,Eternal Labyrinth
Helmet,Enchantment Arcane Cloak Additional Mana Spent 1,Arcane Cloak Spends an additional 10% of current Mana,Arcane Cloak,Merciless Labyrinth
Helmet,Enchantment Arcane Cloak Additional Mana Spent 2,Arcane Cloak Spends an additional 15% of current Mana,Arcane Cloak,Eternal Labyrinth
Helmet,Enchantment Arcanist Brand Cast Speed 2,Arcanist Brand has 12% increased Cast Speed,Arcanist Brand,Eternal Labyrinth
Helmet,Enchantment Arcanist Brand Cast Speed 1,Arcanist Brand has 8% increased Cast Speed,Arcanist Brand,Merciless Labyrinth
Helmet,Enchantment Arctic Armour Mana Reservation 1,Arctic Armour has 20% reduced Reservation,Arctic Armour,Merciless Labyrinth
Helmet,Enchantment Arctic Armour Mana Reservation 2,Arctic Armour has 30% reduced Reservation,Arctic Armour,Eternal Labyrinth
Helmet,Armageddon Brand Attached Target Fire Penetration 2,Armageddon Brand Damage Penetrates 12% of Branded Enemy's Fire Resistance,Armageddon Brand,Eternal Labyrinth
Helmet,Armageddon Brand Attached Target Fire Penetration 1,Armageddon Brand Damage Penetrates 8% of Branded Enemy's Fire Resistance,Armageddon Brand,Merciless Labyrinth
Helmet,Enchantment Armageddon Brand Damage 1,Armageddon Brand deals 25% increased Damage,Armageddon Brand,Merciless Labyrinth
Helmet,Enchantment Armageddon Brand Damage 2,Armageddon Brand deals 40% increased Damage,Armageddon Brand,Eternal Labyrinth
Helmet,Armageddon Brand Repeat Frequency 2,Armageddon Brand has 12% increased Activation Frequency,Armageddon Brand,Eternal Labyrinth
Helmet,Armageddon Brand Repeat Frequency 1,Armageddon Brand has 8% increased Activation Frequency,Armageddon Brand,Merciless Labyrinth
Helmet,Enchantment Artillery Ballista Fire Penetration 2,Artillery Ballista Damage Penetrates 10% Fire Resistance,Artillery Ballista,Eternal Labyrinth
Helmet,Enchantment Artillery Ballista Fire Penetration 1,Artillery Ballista Damage Penetrates 6% Fire Resistance,Artillery Ballista,Merciless Labyrinth
Helmet,Enchantment Artillery Ballista Additional Arrows 2,Artillery Ballista fires 2 additional Arrows,Artillery Ballista,Eternal Labyrinth
Helmet,Enchantment Artillery Ballista Additional Arrows 1,Artillery Ballista fires an additional Arrow,Artillery Ballista,Merciless Labyrinth
Helmet,Enchantment Artillery Ballista Cross Pattern 1,Artillery Ballista Projectiles fall in two perpendicular lines instead,Artillery Ballista,Eternal Labyrinth
Helmet,Enchantment Ambush Critical Strike Multiplier 1,Attacks Exerted by Ambush have +25% to Critical Strike Multiplier,Ambush,Merciless Labyrinth
Helmet,Enchantment Ambush Critical Strike Multiplier 2,Attacks Exerted by Ambush have +40% to Critical Strike Multiplier,Ambush,Eternal Labyrinth
Helmet,Enchantment Ancestral Cry Exerted Attack Damage 1,Attacks Exerted by Ancestral Cry deal 35% increased Damage,Ancestral Cry,Merciless Labyrinth
Helmet,Enchantment Ancestral Cry Exerted Attack Damage 2,Attacks Exerted by Ancestral Cry deal 50% increased Damage,Ancestral Cry,Eternal Labyrinth
Helmet,Enchantment Seismic Cry Exerted Attack Damage 1,Attacks Exerted by Seismic Cry deal 35% increased Damage,Seismic Cry,Merciless Labyrinth
Helmet,Enchantment Seismic Cry Exerted Attack Damage 2,Attacks Exerted by Seismic Cry deal 50% increased Damage,Seismic Cry,Eternal Labyrinth
Helmet,Enchantment Ball Lightning Additional Projectiles 1,Ball Lightning fires an additional Projectile,Ball Lightning,Eternal Labyrinth
Helmet,Enchantment Bane Damage 1,Bane deals 25% increased Damage,Bane,Merciless Labyrinth
Helmet,Enchantment Bane Damage 2,Bane deals 40% increased Damage,Bane,Eternal Labyrinth
Helmet,Enchantment Bane Area Of Effect 1,Bane has 16% increased Area of Effect,Bane,Merciless Labyrinth
Helmet,Enchantment Bane Area Of Effect 2,Bane has 24% increased Area of Effect,Bane,Eternal Labyrinth
Helmet,Enchantment Barrage Num Of Additional Projectiles 1,Barrage fires an additional Projectile,Barrage,Eternal Labyrinth
Helmet,Enchantment Battlemage's Cry Additional Exert,Battlemage's Cry Exerts 1 additional Attack,Battlemage's Cry,Eternal Labyrinth
Helmet,Enchantment Bear Trap Cooldown Speed 1,Bear Trap has 10% increased Cooldown Recovery Rate,Bear Trap,Merciless Labyrinth
Helmet,Enchantment Bear Trap Cooldown Speed 2,Bear Trap has 15% increased Cooldown Recovery Rate,Bear Trap,Eternal Labyrinth
Helmet,Enchantment Berserk Effect 1,Berserk has 20% increased Buff Effect,Berserk,Merciless Labyrinth
Helmet,Enchantment Berserk Rage Loss 1,Berserk has 25% reduced Rage loss per second,Berserk,Merciless Labyrinth
Helmet,Enchantment Berserk Effect 2,Berserk has 30% increased Buff Effect,Berserk,Eternal Labyrinth
Helmet,Enchantment Berserk Rage Loss 2,Berserk has 40% reduced Rage loss per second,Berserk,Eternal Labyrinth
Helmet,Enchantment Blade Blast Damage 1,Blade Blast deals 25% increased Damage,Blade Blast,Merciless Labyrinth
Helmet,Enchantment Blade Blast Damage 2,Blade Blast deals 40% increased Damage,Blade Blast,Eternal Labyrinth
Helmet,Enchantment Blade Blast Detonation Area 1,Blade Blast detonates other Lingering Blades within an 50% increased Area,Blade Blast,Merciless Labyrinth
Helmet,Enchantment Blade Blast Detonation Area 2,Blade Blast detonates other Lingering Blades within an 75% increased Area,Blade Blast,Eternal Labyrinth
Helmet,Enchantment Blade Blast Area of Effect 1,Blade Blast has 16% increased Area of Effect,Blade Blast,Merciless Labyrinth
Helmet,Enchantment Blade Blast Area of Effect 2,Blade Blast has 24% increased Area of Effect,Blade Blast,Eternal Labyrinth
Helmet,Enchantment Blade Trap Additional Rotation,Blade Trap rotates +1 times,Blade Trap,Eternal Labyrinth
Helmet,Enchantment Blade Vortex Crit Multi Per Blade 1,Blade Vortex has +2% to Critical Strike Multiplier for each blade,Blade Vortex,Merciless Labyrinth
Helmet,Enchantment Blade Vortex Crit Multi Per Blade 2,Blade Vortex has +3% to Critical Strike Multiplier for each blade,Blade Vortex,Eternal Labyrinth
Helmet,Enchantment Bladefall Additional Volley,Bladefall has an additional Volley,Bladefall,Eternal Labyrinth
Helmet,Enchantment Bladestorm Damage 1,Bladestorm deals 25% increased Damage,Bladestorm,Merciless Labyrinth
Helmet,Enchantment Bladestorm Damage 2,Bladestorm deals 40% increased Damage,Bladestorm,Eternal Labyrinth
Helmet,Enchantment Blast Rain Damage 1,Blast Rain deals 25% increased Damage,Blast Rain,Merciless Labyrinth
Helmet,Enchantment Blast Rain Damage 2,Blast Rain deals 40% increased Damage,Blast Rain,Eternal Labyrinth
Helmet,Enchantment Blast Rain Additional Blast 2,Blast Rain fires an additional Arrow,Blast Rain,Eternal Labyrinth
Helmet,Enchantment Blast Rain Area Of Effect 1,Blast Rain has 16% increased Area of Effect,Blast Rain,Merciless Labyrinth
Helmet,Enchantment Blast Rain Area Of Effect 2,Blast Rain has 24% increased Area of Effect,Blast Rain,Eternal Labyrinth
Helmet,Enchantment Blazing Salvo Damage 1,Blazing Salvo deals 25% increased Damage,Blazing Salvo,Merciless Labyrinth
Helmet,Enchantment Blazing Salvo Damage 2,Blazing Salvo deals 40% increased Damage,Blazing Salvo,Eternal Labyrinth
Helmet,Enchantment Blazing Salvo Num of Additional Projectiles 1,Blazing Salvo fires an additional Projectile,Blazing Salvo,Eternal Labyrinth
Helmet,Enchantment Blazing Salvo Spread Area 1,Blazing Salvo Projectiles land in a 20% increased Area,Blazing Salvo,Merciless Labyrinth
Helmet,Enchantment Blazing Salvo Spread Area 2,Blazing Salvo Projectiles land in a 30% increased Area,Blazing Salvo,Eternal Labyrinth
Helmet,Enchantment Blight Secondary Skill Duration 1,Blight has 20% increased Hinder Duration,Blight,Merciless Labyrinth
Helmet,Enchantment Blight Secondary Skill Duration 2,Blight has 30% increased Hinder Duration,Blight,Eternal Labyrinth
Helmet,Enchantment Blink Arrow Attack Speed 1,Blink Arrow and Blink Arrow Clones have 10% increased Attack Speed,Blink Arrow,Merciless Labyrinth
Helmet,Enchantment Blink Arrow Attack Speed 2,Blink Arrow and Blink Arrow Clones have 15% increased Attack Speed,Blink Arrow,Eternal Labyrinth
Helmet,Enchantment Blink Arrow Damage 1,Blink Arrow and Blink Arrow Clones have 25% increased Damage,Blink Arrow,Merciless Labyrinth
Helmet,Enchantment Blink Arrow Damage 2,Blink Arrow and Blink Arrow Clones have 40% increased Damage,Blink Arrow,Eternal Labyrinth
Helmet,Enchantment Blink Arrow Cooldown Speed 1,Blink Arrow has 20% increased Cooldown Recovery Rate,Blink Arrow,Merciless Labyrinth
Helmet,Enchantment Blink Arrow Cooldown Speed 2,Blink Arrow has 30% increased Cooldown Recovery Rate,Blink Arrow,Eternal Labyrinth
Helmet,Enchantment Blood and Sand Buff Effect 1,Blood and Sand has 25% increased Buff Effect,Blood and Sand,Merciless Labyrinth
Helmet,Enchantment Blood and Sand Buff Effect 2,Blood and Sand has 40% increased Buff Effect,Blood and Sand,Eternal Labyrinth
Helmet,Enchantment Blood Rage Attack Speed 2,Blood Rage grants additional 12% increased Attack Speed,Blood Rage,Eternal Labyrinth
Helmet,Enchantment Blood Rage Frenzy On Kill 1,Blood Rage grants additional 20% chance to gain a Frenzy Charge on Kill,Blood Rage,Merciless Labyrinth
Helmet,Enchantment Blood Rage Frenzy On Kill 2,Blood Rage grants additional 30% chance to gain a Frenzy Charge on Kill,Blood Rage,Eternal Labyrinth
Helmet,Enchantment Blood Rage Attack Speed 1,Blood Rage grants additional 8% increased Attack Speed,Blood Rage,Merciless Labyrinth
Helmet,Enchantment Bone Offering Block Chance 1,Bone Offering grants an additional +6% Chance to Block Attack Damage,Bone Offering,Merciless Labyrinth
Helmet,Enchantment Bone Offering Block Chance 2,Bone Offering grants an additional +9% Chance to Block Attack Damage,Bone Offering,Eternal Labyrinth
Helmet,Enchantment Boneshatter Chance for Additional Trauma 1,Boneshatter has 16% chance to grant +1 Trauma,Boneshatter,Merciless Labyrinth
Helmet,Enchantment Boneshatter Chance for Additional Trauma 2,Boneshatter has 24% chance to grant +1 Trauma,Boneshatter,Eternal Labyrinth
Helmet,Enchantment Burning Arrow Ignite Chance 1,Burning Arrow has +20% chance to Ignite,Burning Arrow,Merciless Labyrinth
Helmet,Enchantment Burning Arrow Ignite Chance 2,Burning Arrow has +30% chance to Ignite,Burning Arrow,Eternal Labyrinth
Helmet,Enchantment Burning Arrow Debuff Effect 1,Burning Arrow has 16% increased Debuff Effect,Burning Arrow,Merciless Labyrinth
Helmet,Enchantment Burning Arrow Debuff Effect 2,Burning Arrow has 24% increased Debuff Effect,Burning Arrow,Eternal Labyrinth
Helmet,Enchantment Caustic Arrow Wither On Hit 1,Caustic Arrow has 14% chance to inflict Withered on Hit for 2 seconds base Duration,Caustic Arrow,Merciless Labyrinth
Helmet,Enchantment Caustic Arrow Wither On Hit 2,Caustic Arrow has 20% chance to inflict Withered on Hit for 2 seconds base Duration,Caustic Arrow,Eternal Labyrinth
Helmet,Enchantment Chain Hook Damage 1,Chain Hook deals 25% increased Damage,Chain Hook,Merciless Labyrinth
Helmet,Enchantment Chain Hook Damage 2,Chain Hook deals 40% increased Damage,Chain Hook,Eternal Labyrinth
Helmet,Enchantment Chain Hook Cone Radius Per 12 Rage 1,Chain Hook has +1 Radius per 12 Rage,Chain Hook,Eternal Labyrinth
Helmet,Enchantment Chain Hook Gain Rage On Hit Chance 1,Chain Hook has a 25% chance to grant +1 Rage if it Hits Enemies,Chain Hook,Merciless Labyrinth
Helmet,Enchantment Chain Hook Gain Rage On Hit Chance 2,Chain Hook has a 40% chance to grant +1 Rage if it Hits Enemies,Chain Hook,Eternal Labyrinth
Helmet,Enchantment Sumon Chaos Golem Damage 1,Chaos Golems deal 25% increased Damage,Summon Chaos Golem,Merciless Labyrinth
Helmet,Enchantment Sumon Chaos Golem Damage 2,Chaos Golems deal 40% increased Damage,Summon Chaos Golem,Eternal Labyrinth
Helmet,Enchantment Charged Dash Radius Final Explosion 1,Charged Dash has +4 to Radius of each Wave's last damage Area,Charged Dash,Merciless Labyrinth
Helmet,Enchantment Charged Dash Radius Final Explosion 2,Charged Dash has +6 to Radius of each Wave's last damage Area,Charged Dash,Eternal Labyrinth
Helmet,Enchantment Charged Dash Movement Speed 1,Charged Dash has 10% more Movement Speed,Charged Dash,Merciless Labyrinth
Helmet,Enchantment Charged Dash Movement Speed 2,Charged Dash has 15% more Movement Speed,Charged Dash,Eternal Labyrinth
Helmet,Enchantment Ice Nova Minimum Chill 1,Chills from Ice Nova Hits always reduce Action Speed by at least 6%,Ice Nova,Merciless Labyrinth
Helmet,Enchantment Ice Nova Minimum Chill 2,Chills from Ice Nova Hits always reduce Action Speed by at least 8%,Ice Nova,Eternal Labyrinth
Helmet,Enchantment Clarity Mana Reservation 1,Clarity has 20% reduced Reservation,Clarity,Merciless Labyrinth
Helmet,Enchantment Clarity Mana Reservation 2,Clarity has 30% reduced Reservation,Clarity,Eternal Labyrinth
Helmet,Enchantment Cobra Lash Number Of Additional Chains 1,Cobra Lash Chains 2 additional times,Cobra Lash,Merciless Labyrinth
Helmet,Enchantment Cobra Lash Number Of Additional Chains 2,Cobra Lash Chains 3 additional times,Cobra Lash,Eternal Labyrinth
Helmet,Enchantment Cobra Lash Damage 1,Cobra Lash deals 25% increased Damage,Cobra Lash,Merciless Labyrinth
Helmet,Enchantment Cobra Lash Damage 2,Cobra Lash deals 40% increased Damage,Cobra Lash,Eternal Labyrinth
Helmet,Enchantment Cobra Lash Projectile Speed 1,Cobra Lash has 20% increased Projectile Speed,Cobra Lash,Merciless Labyrinth
Helmet,Enchantment Cobra Lash Projectile Speed 2,Cobra Lash has 30% increased Projectile Speed,Cobra Lash,Eternal Labyrinth
Helmet,Enchantment Cold Snap Cooldown Speed 1,Cold Snap has 20% increased Cooldown Recovery Rate,Cold Snap,Merciless Labyrinth
Helmet,Enchantment Cold Snap Cooldown Speed 2,Cold Snap has 30% increased Cooldown Recovery Rate,Cold Snap,Eternal Labyrinth
Helmet,Enchantment Infernal Cry Combust Area Of Effect 1,Combust has 30% increased Area of Effect,Infernal Cry,Eternal Labyrinth
Helmet,Enchantment Flame Totem Consecrated Ground Enemy Damage Taken 1,Consecrated Ground from Holy Flame Totem applies 6% increased Damage taken to Enemies,Holy Flame Totem,Merciless Labyrinth
Helmet,Enchantment Flame Totem Consecrated Ground Enemy Damage Taken 2,Consecrated Ground from Holy Flame Totem applies 9% increased Damage taken to Enemies,Holy Flame Totem,Eternal Labyrinth
Helmet,Enchantment Purifying Flame Consecrated Ground Enemy Damage Taken 1,Consecrated Ground from Purifying Flame applies 6% increased Damage taken to Enemies,Purifying Flame,Merciless Labyrinth
Helmet,Enchantment Purifying Flame Consecrated Ground Enemy Damage Taken 2,Consecrated Ground from Purifying Flame applies 9% increased Damage taken to Enemies,Purifying Flame,Eternal Labyrinth
Helmet,Enchantment Consecrated Path Damage 1,Consecrated Path deals 25% increased Damage,Consecrated Path,Merciless Labyrinth
Helmet,Enchantment Consecrated Path Damage 2,Consecrated Path deals 40% increased Damage,Consecrated Path,Eternal Labyrinth
Helmet,Enchantment Consecrated Path Range 1,Consecrated Path has 10% increased teleport range,Consecrated Path,Merciless Labyrinth
Helmet,Enchantment Consecrated Path Range 2,Consecrated Path has 15% increased teleport range,Consecrated Path,Eternal Labyrinth
Helmet,Enchantment Consecrated Path Area Of Effect 1,Consecrated Path has 16% increased Area of Effect,Consecrated Path,Merciless Labyrinth
Helmet,Enchantment Consecrated Path Area Of Effect 2,Consecrated Path has 24% increased Area of Effect,Consecrated Path,Eternal Labyrinth
Helmet,Enchantment Conversion Trap Cooldown Speed 1,Conversion Trap 20% increased Cooldown Recovery Rate,Conversion Trap,Merciless Labyrinth
Helmet,Enchantment Conversion Trap Cooldown Speed 2,Conversion Trap 30% increased Cooldown Recovery Rate,Conversion Trap,Eternal Labyrinth
Helmet,Enchantment Conversion Trap Damage 1,Converted Enemies have 25% increased Damage,Conversion Trap,Merciless Labyrinth
Helmet,Enchantment Conversion Trap Damage 2,Converted Enemies have 40% increased Damage,Conversion Trap,Eternal Labyrinth
Helmet,Enchantment Convocation Cooldown Speed 1,Convocation has 20% increased Cooldown Recovery Rate,Convocation,Merciless Labyrinth
Helmet,Enchantment Convocation Cooldown Speed 2,Convocation has 30% increased Cooldown Recovery Rate,Convocation,Eternal Labyrinth
Helmet,Enchantment Corrupting Fever Damage 1,Corrupting Fever deals 25% increased Damage,Corrupting Fever,Merciless Labyrinth
Helmet,Enchantment Corrupting Fever Damage 2,Corrupting Fever deals 40% increased Damage,Corrupting Fever,Eternal Labyrinth
Helmet,Enchantment Corrupting Fever Additional Corrupted Blood 1,Corrupting Fever has +50% chance to inflict an additional Corrupted Blood Debuff,Corrupting Fever,Eternal Labyrinth
Helmet,Enchantment Crackling Lance Damage 1,Crackling Lance deals 25% increased Damage,Crackling Lance,Merciless Labyrinth
Helmet,Enchantment Crackling Lance Damage 2,Crackling Lance deals 40% increased Damage,Crackling Lance,Eternal Labyrinth
Helmet,Enchantment Crackling Lance Cast Speed 2,Crackling Lance has 16% increased Cast Speed,Crackling Lance,Eternal Labyrinth
Helmet,Enchantment Crackling Lance Beam Angle 1,Crackling Lance has 24% increased branching angle,Crackling Lance,Merciless Labyrinth
Helmet,Enchantment Crackling Lance Beam Angle 2,Crackling Lance has 36% increased branching angle,Crackling Lance,Eternal Labyrinth
Helmet,Enchantment Crackling Lance Cast Speed 1,Crackling Lance has 8% increased Cast Speed,Crackling Lance,Merciless Labyrinth
Helmet,Enchantment Creeping Frost Chilling Area Movement Velocity 1,Creeping Frost's Chilling Area has 38% increased Movement Speed,Creeping Frost,Eternal Labyrinth
Helmet,Enchantment Cremation Maximum Geysers 1,Cremation can have up to 1 additional Geyser at a time,Cremation,Eternal Labyrinth
Boots,Enchantment Elemental Penetration 3,Damage Penetrates 10% of Enemy Elemental Resistances if you haven't Killed Recently,,Eternal Labyrinth
Boots,Enchantment Elemental Penetration 1,Damage Penetrates 6% of Enemy Elemental Resistances if you haven't Killed Recently,,Cruel Labyrinth
Boots,Enchantment Elemental Penetration 2,Damage Penetrates 8% of Enemy Elemental Resistances if you haven't Killed Recently,,Merciless Labyrinth
Helmet,Enchantment Dash Cooldown Count 1,Dash has +1 Cooldown Use,Dash,Merciless Labyrinth
Helmet,Enchantment Dash Cooldown Count 2,Dash has +2 Cooldown Uses,Dash,Eternal Labyrinth
Helmet,Enchantment Dash Travel Distance 2,Dash travels 100% increased distance,Dash,Eternal Labyrinth
Helmet,Enchantment Dash Travel Distance 1,Dash travels 65% increased distance,Dash,Merciless Labyrinth
Helmet,Enchantment Defiance Banner Aura Effect 1,Defiance Banner has 25% increased Aura Effect,Defiance Banner,Merciless Labyrinth
Helmet,Enchantment Defiance Banner Aura Effect 2,Defiance Banner has 40% increased Aura Effect,Defiance Banner,Eternal Labyrinth
Helmet,Enchantment Desecrate Additional Corpse 1,Desecrate Spawns 2 additional corpses,Desecrate,Merciless Labyrinth
Helmet,Enchantment Desecrate Additional Corpse 2,Desecrate Spawns 3 additional corpses,Desecrate,Eternal Labyrinth
Helmet,Enchantment Determination Mana Reservation 1,Determination has 10% reduced Reservation,Determination,Merciless Labyrinth
Helmet,Enchantment Determination Mana Reservation 2,Determination has 15% reduced Reservation,Determination,Eternal Labyrinth
Helmet,Enchantment Detonate Dead Percent Chance To Detonate Additional Corpse 1,Detonate Dead has a 30% chance to detonate an additional corpse,Detonate Dead,Merciless Labyrinth
Helmet,Enchantment Detonate Dead Percent Chance To Detonate Additional Corpse 2,Detonate Dead has a 45% chance to detonate an additional corpse,Detonate Dead,Eternal Labyrinth
Helmet,Enchantment Devouring Totem Percent Chance To Consume Additional Corpse 1,Devouring Totem has 40% Chance to Consume an additional corpse,Devouring Totem,Merciless Labyrinth
Helmet,Enchantment Devouring Totem Percent Chance To Consume Additional Corpse 2,Devouring Totem has 60% Chance to Consume an additional corpse,Devouring Totem,Eternal Labyrinth
Helmet,Enchantment Discharge Radius 1,Discharge has +3 to Radius,Discharge,Merciless Labyrinth
Helmet,Enchantment Discharge Radius 2,Discharge has +5 to Radius,Discharge,Eternal Labyrinth
Helmet,Enchantment Discipline Mana Reservation 1,Discipline has 14% reduced Reservation,Discipline,Merciless Labyrinth
Helmet,Enchantment Discipline Mana Reservation 2,Discipline has 20% reduced Reservation,Discipline,Eternal Labyrinth
Helmet,Enchantment Divine Ire Number Of Additional Nearby Enemies To Zap 2,Divine Ire Damages 2 additional nearby Enemies when gaining Stages,Divine Ire,Eternal Labyrinth
Helmet,Enchantment Divine Ire Number Of Additional Nearby Enemies To Zap 1,Divine Ire Damages an additional nearby Enemy when gaining Stages,Divine Ire,Merciless Labyrinth
Helmet,Enchantment Divine Ire Damage 1,Divine Ire deals 25% increased Damage,Divine Ire,Merciless Labyrinth
Helmet,Enchantment Divine Ire Damage 2,Divine Ire deals 40% increased Damage,Divine Ire,Eternal Labyrinth
Helmet,Enchantment Divine Ire Beam Width 1,Divine Ire's beam has 10% increased width,Divine Ire,Merciless Labyrinth
Helmet,Enchantment Divine Ire Beam Width 2,Divine Ire's beam has 15% increased width,Divine Ire,Eternal Labyrinth
