Name,Source,Description,Gem
Enchantment Glacial Hammer Physical Damage Percent To Add As Cold Damage 2,Eternal Labyrinth,15% of Glacial Hammer Physical Damage gained as Extra Cold Damage,Glacial Hammer
Enchantment Grace Mana Reservation 1,Merciless Labyrinth,Grace has 10% reduced Mana Reservation,Grace
Enchantment Grace Mana Reservation 2,Eternal Labyrinth,Grace has 15% reduced Mana Reservation,Grace
Enchantment Ground Slam Angle 1,Merciless Labyrinth,Ground Slam has a 16% increased angle,Ground Slam
Enchantment Ground Slam Angle 2,Eternal Labyrinth,Ground Slam has a 24% increased angle,Ground Slam
Enchantment Ground Slam Damage 1,Merciless Labyrinth,25% increased Ground Slam Damage,Ground Slam
Enchantment Ground Slam Damage 2,Eternal Labyrinth,40% increased Ground Slam Damage,Ground Slam
Enchantment Ground Slam Area Of Effect 1,Merciless Labyrinth,8% increased Ground Slam Area of Effect,Ground Slam
Enchantment Ground Slam Area Of Effect 2,Eternal Labyrinth,12% increased Ground Slam Area of Effect,Ground Slam
Enchantment Haste Mana Reservation 1,Merciless Labyrinth,Haste has 10% reduced Mana Reservation,Haste
Enchantment Haste Mana Reservation 2,Eternal Labyrinth,Haste has 15% reduced Mana Reservation,Haste
Enchantment Hatred Mana Reservation 1,Merciless Labyrinth,Hatred has 10% reduced Mana Reservation,Hatred
Enchantment Hatred Mana Reservation 2,Eternal Labyrinth,Hatred has 15% reduced Mana Reservation,Hatred
Enchantment Heavy Strike Attack Speed 1,Merciless Labyrinth,10% increased Heavy Strike Attack Speed,Heavy Strike
Enchantment Heavy Strike Attack Speed 2,Eternal Labyrinth,15% increased Heavy Strike Attack Speed,Heavy Strike
Enchantment Heavy Strike Damage 1,Merciless Labyrinth,25% increased Heavy Strike Damage,Heavy Strike
Enchantment Heavy Strike Damage 2,Eternal Labyrinth,40% increased Heavy Strike Damage,Heavy Strike
Enchantment Heavy Strike Double Damage 1,Merciless Labyrinth,Heavy Strike has a 8% chance to deal Double Damage,Heavy Strike
Enchantment Heavy Strike Double Damage 2,Eternal Labyrinth,Heavy Strike has a 12% chance to deal Double Damage,Heavy Strike
Enchantment Herald Of Agony Mana Reservation 1,Merciless Labyrinth,Herald of Agony has 20% reduced Mana Reservation,Herald of Agony
Enchantment Herald Of Agony Mana Reservation 2,Eternal Labyrinth,Herald of Agony has 30% reduced Mana Reservation,Herald of Agony
Enchantment Herald Of Agony Num Of Secondary Projectiles 1,Eternal Labyrinth,Summoned Agony Crawler fires 2 additional Projectiles,Herald of Agony
Enchantment Herald Of Ash Damage 1,Merciless Labyrinth,25% increased Herald of Ash Damage,Herald of Ash
Enchantment Herald Of Ash Damage 2,Eternal Labyrinth,40% increased Herald of Ash Damage,Herald of Ash
Enchantment Herald Of Ash Mana Reservation 1,Merciless Labyrinth,Herald of Ash has 20% reduced Mana Reservation,Herald of Ash
Enchantment Herald Of Ash Mana Reservation 2,Eternal Labyrinth,Herald of Ash has 30% reduced Mana Reservation,Herald of Ash
Enchantment Herald Of Ice Damage 1,Merciless Labyrinth,25% increased Herald of Ice Damage,Herald of Ice
Enchantment Herald Of Ice Damage 2,Eternal Labyrinth,40% increased Herald of Ice Damage,Herald of Ice
Enchantment Herald Of Ice Mana Reservation 1,Merciless Labyrinth,Herald of Ice has 20% reduced Mana Reservation,Herald of Ice
Enchantment Herald Of Ice Mana Reservation 2,Eternal Labyrinth,Herald of Ice has 30% reduced Mana Reservation,Herald of Ice
Enchantment Herald Of Purity Additional Minion 1,Eternal Labyrinth,+1 to maximum number of Sentinels of Purity,Herald of Purity
Enchantment Herald Of Purity Mana Reservation 1,Merciless Labyrinth,Herald of Purity has 20% reduced Mana Reservation,Herald of Purity
Enchantment Herald Of Purity Mana Reservation 2,Eternal Labyrinth,Herald of Purity has 30% reduced Mana Reservation,Herald of Purity
Enchantment Herald Of Thunder Damage 1,Merciless Labyrinth,25% increased Herald of Thunder Damage,Herald of Thunder
Enchantment Herald Of Thunder Damage 2,Eternal Labyrinth,40% increased Herald of Thunder Damage,Herald of Thunder
Enchantment Herald Of Thunder Mana Reservation 1,Merciless Labyrinth,Herald of Thunder has 20% reduced Mana Reservation,Herald of Thunder
Enchantment Herald Of Thunder Mana Reservation 2,Eternal Labyrinth,Herald of Thunder has 30% reduced Mana Reservation,Herald of Thunder
Enchantment Holy Relic Buff Effect 1,Merciless Labyrinth,Summoned Holy Relics have 75% increased Buff Effect,Summon Holy Relic
Enchantment Holy Relic Buff Effect 2,Eternal Labyrinth,Summoned Holy Relics have 100% increased Buff Effect,Summon Holy Relic
Enchantment Holy Relic Damage 1,Merciless Labyrinth,Summoned Holy Relics deal 25% increased Damage,Summon Holy Relic
Enchantment Holy Relic Damage 2,Eternal Labyrinth,Summoned Holy Relics deal 40% increased Damage,Summon Holy Relic
Enchantment Holy Relic Area Of Effect 1,Merciless Labyrinth,Summoned Holy Relics have 15% increased Area of Effect,Summon Holy Relic
Enchantment Holy Relic Area Of Effect 2,Eternal Labyrinth,Summoned Holy Relics have 20% increased Area of Effect,Summon Holy Relic
Enchantment Ice Crash Damage 1,Merciless Labyrinth,25% increased Ice Crash Damage,Ice Crash
Enchantment Ice Crash Damage 2,Eternal Labyrinth,40% increased Ice Crash Damage,Ice Crash
Enchantment Ice Crash Physical Damage Percent To Add As Cold Damage 1,Merciless Labyrinth,10% of Ice Crash Physical Damage gained as Extra Cold Damage,Ice Crash
Enchantment Ice Crash Physical Damage Percent To Add As Cold Damage 2,Eternal Labyrinth,15% of Ice Crash Physical Damage gained as Extra Cold Damage,Ice Crash
Enchantment Ice Crash Area Of Effect 1,Merciless Labyrinth,8% increased Ice Crash Area of Effect,Ice Crash
Enchantment Ice Crash Area Of Effect 2,Eternal Labyrinth,12% increased Ice Crash Area of Effect,Ice Crash
Enchantment Ice Golem Elemental Resistances 1,Merciless Labyrinth,+24% to Ice Golem Elemental Resistances,Summon Ice Golem
Enchantment Ice Golem Elemental Resistances 2,Eternal Labyrinth,+36% to Ice Golem Elemental Resistances,Summon Ice Golem
Enchantment Ice Golem Grants Percent Additional Critical Strike Chance And Accuracy 1,Merciless Labyrinth,100% increased Effect of the Buff granted by your Ice Golems,Summon Ice Golem
Enchantment Ice Golem Grants Percent Additional Critical Strike Chance And Accuracy 2,Eternal Labyrinth,150% increased Effect of the Buff granted by your Ice Golems,Summon Ice Golem
Enchantment Ice Nova Damage 1,Merciless Labyrinth,25% increased Ice Nova Damage,Ice Nova
Enchantment Ice Nova Damage 2,Eternal Labyrinth,40% increased Ice Nova Damage,Ice Nova
Enchantment Ice Nova Freeze Chance 1,Merciless Labyrinth,Ice Nova has +20% chance to Freeze,Ice Nova
Enchantment Ice Nova Freeze Chance 2,Eternal Labyrinth,Ice Nova has +30% chance to Freeze,Ice Nova
Enchantment Ice Nova Minimum Chill 1,Merciless Labyrinth,Chills from Ice Nova Hits always reduce Action Speed by at least 6%,Ice Nova
Enchantment Ice Nova Minimum Chill 2,Eternal Labyrinth,Chills from Ice Nova Hits always reduce Action Speed by at least 8%,Ice Nova
Enchantment Ice Nova Area Of Effect 1,Merciless Labyrinth,8% increased Ice Nova Area of Effect,Ice Nova
Enchantment Ice Nova Area Of Effect 2,Eternal Labyrinth,12% increased Ice Nova Area of Effect,Ice Nova
Enchantment Ice Shot Damage 1,Merciless Labyrinth,25% increased Ice Shot Damage,Ice Shot
Enchantment Ice Shot Damage 2,Eternal Labyrinth,40% increased Ice Shot Damage,Ice Shot
Enchantment Ice Shot Duration 1,Merciless Labyrinth,24% increased Ice Shot Duration,Ice Shot
Enchantment Ice Shot Duration 2,Eternal Labyrinth,36% increased Ice Shot Duration,Ice Shot
Enchantment Ice Shot Area Of Effect 1,Merciless Labyrinth,8% increased Ice Shot Area of Effect,Ice Shot
Enchantment Ice Shot Area Of Effect 2,Eternal Labyrinth,12% increased Ice Shot Area of Effect,Ice Shot
Enchantment Ice Siphon Trap Chill Effect 1,Merciless Labyrinth,Siphoning Trap has 25% increased Chill Effect,Siphoning Trap
Enchantment Ice Siphon Trap Chill Effect 2,Eternal Labyrinth,Siphoning Trap has 40% increased Chill Effect,Siphoning Trap
Enchantment Ice Siphon Trap Damage 1,Merciless Labyrinth,Siphoning Trap deals 25% increased Damage,Siphoning Trap
Enchantment Ice Siphon Trap Damage 2,Eternal Labyrinth,Siphoning Trap deals 40% increased Damage,Siphoning Trap
Enchantment Ice Siphon Trap Damage Taken 1,Eternal Labyrinth,Siphoning Trap's beam to you grants 1% reduced Damage taken for each other beam,Siphoning Trap
Enchantment Ice Siphon Trap Duration 1,Merciless Labyrinth,Siphoning Trap has 30% increased Skill Effect Duration,Siphoning Trap
Enchantment Ice Siphon Trap Duration 2,Eternal Labyrinth,Siphoning Trap has 45% increased Skill Effect Duration,Siphoning Trap
Enchantment Ice Spear Additional Projectile 1,Eternal Labyrinth,Ice Spear fires an additional Projectile,Ice Spear
Enchantment Ice Spear Distance Before Form Change 1,Merciless Labyrinth,Ice Spear travels 20% reduced distance before changing forms,Ice Spear
Enchantment Ice Spear Distance Before Form Change 2,Eternal Labyrinth,Ice Spear travels 30% reduced distance before changing forms,Ice Spear
Enchantment Ice Spear Percent Chance To Gain Power Charge On Critical Strike 1,Merciless Labyrinth,10% Chance to gain a Power Charge on Critical Strike with Ice Spear,Ice Spear
Enchantment Ice Spear Percent Chance To Gain Power Charge On Critical Strike 2,Eternal Labyrinth,15% Chance to gain a Power Charge on Critical Strike with Ice Spear,Ice Spear
Enchantment Ice Spear Second Form Critical Strike Chance 1,Merciless Labyrinth,200% increased Ice Spear Critical Strike Chance in second form,Ice Spear
Enchantment Ice Spear Second Form Critical Strike Chance 2,Eternal Labyrinth,300% increased Ice Spear Critical Strike Chance in second form,Ice Spear
Enchantment Ice Trap Cold Penetration 1,Merciless Labyrinth,Ice Trap Damage Penetrates 6% Cold Resistance,Ice Trap
Enchantment Ice Trap Cold Penetration 2,Eternal Labyrinth,Ice Trap Damage Penetrates 10% Cold Resistance,Ice Trap
Enchantment Ice Trap Damage 1,Merciless Labyrinth,25% increased Ice Trap Damage,Ice Trap
Enchantment Ice Trap Damage 2,Eternal Labyrinth,40% increased Ice Trap Damage,Ice Trap
Enchantment Ice Trap Area Of Effect 1,Merciless Labyrinth,8% increased Ice Trap Area of Effect,Ice Trap
Enchantment Ice Trap Area Of Effect 2,Eternal Labyrinth,12% increased Ice Trap Area of Effect,Ice Trap
Enchantment Immortal Call Duration 1,Merciless Labyrinth,34% increased Immortal Call Duration,Immortal Call
Enchantment Immortal Call Duration 2,Eternal Labyrinth,36% increased Immortal Call Duration,Immortal Call
Enchantment Incinerate Area Of Effect 1,Merciless Labyrinth,Incinerate has 8% increased Area of Effect,Incinerate
Enchantment Incinerate Area Of Effect 2,Eternal Labyrinth,Incinerate has 12% increased Area of Effect,Incinerate
Enchantment Incinerate Damage 1,Merciless Labyrinth,25% increased Incinerate Damage,Incinerate
Enchantment Incinerate Damage 2,Eternal Labyrinth,40% increased Incinerate Damage,Incinerate
Enchantment Incinerate Damage Per Stage 3,Eternal Labyrinth,10% increased Incinerate Damage for each stage,Incinerate
Enchantment Incinerate Maximum Stages 1,Merciless Labyrinth,Incinerate has +1 to maximum stages,Incinerate
Enchantment Incinerate Maximum Stages 2,Eternal Labyrinth,Incinerate has +2 to maximum stages,Incinerate
Enchantment Infernal Blow Damage 1,Merciless Labyrinth,25% increased Infernal Blow Damage,Infernal Blow
Enchantment Infernal Blow Damage 2,Eternal Labyrinth,40% increased Infernal Blow Damage,Infernal Blow
Enchantment Infernal Blow Increased Damage Per Stack 1,Merciless Labyrinth,Infernal Blow Debuff deals an additional 3% of Damage per Charge,Infernal Blow
Enchantment Infernal Blow Increased Damage Per Stack 2,Eternal Labyrinth,Infernal Blow Debuff deals an additional 5% of Damage per Charge,Infernal Blow
Enchantment Infernal Blow Physical Damage Percent To Add As Fire Damage 1,Merciless Labyrinth,10% of Infernal Blow Physical Damage gained as Extra Fire Damage,Infernal Blow
Enchantment Infernal Blow Physical Damage Percent To Add As Fire Damage 2,Eternal Labyrinth,15% of Infernal Blow Physical Damage gained as Extra Fire Damage,Infernal Blow
Enchantment Infernal Blow Area Of Effect 1,Merciless Labyrinth,8% increased Infernal Blow Area of Effect,Infernal Blow
Enchantment Infernal Blow Area Of Effect 2,Eternal Labyrinth,12% increased Infernal Blow Area of Effect,Infernal Blow
Enchantment Kinetic Blast Damage 1,Merciless Labyrinth,25% increased Kinetic Blast Damage,Kinetic Blast
Enchantment Kinetic Blast Damage 2,Eternal Labyrinth,40% increased Kinetic Blast Damage,Kinetic Blast
Enchantment Kinetic Blast Explosions 1,Merciless Labyrinth,Kinetic Blast has a 50% chance for an additional explosion,Kinetic Blast
Enchantment Kinetic Blast Explosions 2,Eternal Labyrinth,Kinetic Blast has a 75% chance for an additional explosion,Kinetic Blast
Enchantment Kinetic Blast Area Of Effect 1,Merciless Labyrinth,8% increased Kinetic Blast Area of Effect,Kinetic Blast
Enchantment Kinetic Blast Area Of Effect 2,Eternal Labyrinth,12% increased Kinetic Blast Area of Effect,Kinetic Blast
Enchantment Lancing Steel Damage 1,Merciless Labyrinth,Lancing Steel deals 25% increased Damage,Lancing Steel
Enchantment Lancing Steel Damage 2,Eternal Labyrinth,Lancing Steel deals 40% increased Damage,Lancing Steel
Enchantment Lancing Steel Impale Chance 1,Merciless Labyrinth,Lancing Steel's additional Projectiles have +20% chance to Impale Enemies,Lancing Steel
Enchantment Lancing Steel Impale Chance 2,Eternal Labyrinth,Lancing Steel's additional Projectiles have +30% chance to Impale Enemies,Lancing Steel
Enchantment Lancing Steel Primary Proj Pierce Num 1,Merciless Labyrinth,Lancing Steel's primary Projectile Pierces 3 additional Targets,Lancing Steel
Enchantment Lancing Steel Primary Proj Pierce Num 2,Eternal Labyrinth,Lancing Steel's primary Projectile Pierces 5 additional Targets,Lancing Steel
Enchantment Leap Slam Attack Speed 1,Merciless Labyrinth,10% increased Leap Slam Attack Speed,Leap Slam
Enchantment Leap Slam Attack Speed 2,Eternal Labyrinth,15% increased Leap Slam Attack Speed,Leap Slam
Enchantment Leap Slam Damage 1,Merciless Labyrinth,25% increased Leap Slam Damage,Leap Slam
Enchantment Leap Slam Damage 2,Eternal Labyrinth,40% increased Leap Slam Damage,Leap Slam
Enchantment Leap Slam Area Of Effect 1,Merciless Labyrinth,8% increased Leap Slam Area of Effect,Leap Slam
Enchantment Leap Slam Area Of Effect 2,Eternal Labyrinth,12% increased Leap Slam Area of Effect,Leap Slam
Enchantment Lightning Arrow Damage 1,Merciless Labyrinth,25% increased Lightning Arrow Damage,Lightning Arrow
Enchantment Lightning Arrow Damage 2,Eternal Labyrinth,40% increased Lightning Arrow Damage,Lightning Arrow
Enchantment Lightning Arrow Extra Targets 1,Merciless Labyrinth,Lightning Arrow hits an additional Enemy,Lightning Arrow
Enchantment Lightning Arrow Extra Targets 2,Eternal Labyrinth,Lightning Arrow hits 2 additional Enemies,Lightning Arrow
Enchantment Lightning Arrow Area Of Effect 1,Merciless Labyrinth,8% increased Lightning Arrow Area of Effect,Lightning Arrow
Enchantment Lightning Arrow Area Of Effect 2,Eternal Labyrinth,12% increased Lightning Arrow Area of Effect,Lightning Arrow
Enchantment Stormblast Mine Aura Effect 1,Merciless Labyrinth,Stormblast Mine has 20% increased Aura Effect,Stormblast Mine
Enchantment Stormblast Mine Aura Effect 2,Eternal Labyrinth,Stormblast Mine has 40% increased Aura Effect,Stormblast Mine
Enchantment Stormblast Mine Damage 1,Merciless Labyrinth,Stormblast Mine deals 25% increased Damage,Stormblast Mine
Enchantment Stormblast Mine Damage 2,Eternal Labyrinth,Stormblast Mine deals 40% increased Damage,Stormblast Mine
Enchantment Stormblast Mine Throwing Speed 1,Merciless Labyrinth,Stormblast Mine has 10% increased Throwing Speed,Stormblast Mine
Enchantment Stormblast Mine Throwing Speed 2,Eternal Labyrinth,Stormblast Mine has 15% increased Throwing Speed,Stormblast Mine
Enchantment Lightning Golem Elemental Resistances 1,Merciless Labyrinth,+24% to Lightning Golem Elemental Resistances,Summon Lightning Golem
Enchantment Lightning Golem Elemental Resistances 2,Eternal Labyrinth,+36% to Lightning Golem Elemental Resistances,Summon Lightning Golem
Enchantment Lightning Golem Granted Buff Effect 1,Merciless Labyrinth,100% increased Effect of the Buff granted by your Lightning Golems,Summon Lightning Golem
Enchantment Lightning Golem Granted Buff Effect 2,Eternal Labyrinth,150% increased Effect of the Buff granted by your Lightning Golems,Summon Lightning Golem
Enchantment Lightning Strike Additional Pierce 1,Merciless Labyrinth,Lightning Strike pierces 2 additional Targets,Lightning Strike
Enchantment Lightning Strike Additional Pierce 2,Eternal Labyrinth,Lightning Strike pierces 3 additional Targets,Lightning Strike
Enchantment Lightning Strike Damage 1,Merciless Labyrinth,25% increased Lightning Strike Damage,Lightning Strike
Enchantment Lightning Strike Damage 2,Eternal Labyrinth,40% increased Lightning Strike Damage,Lightning Strike
Enchantment Lightning Strike Num Of Additional Projectiles 1,Merciless Labyrinth,Lightning Strike fires 2 additional Projectiles,Lightning Strike
Enchantment Lightning Strike Num Of Additional Projectiles 2,Eternal Labyrinth,Lightning Strike fires 3 additional Projectiles,Lightning Strike
Enchantment Lightning Tendrils Critical Strike Chance 1,Merciless Labyrinth,40% increased Lightning Tendrils Critical Strike Chance,Lightning Tendrils
Enchantment Lightning Tendrils Critical Strike Chance 2,Eternal Labyrinth,60% increased Lightning Tendrils Critical Strike Chance,Lightning Tendrils
Enchantment Lightning Tendrils Damage 1,Merciless Labyrinth,25% increased Lightning Tendrils Damage,Lightning Tendrils
Enchantment Lightning Tendrils Damage 2,Eternal Labyrinth,40% increased Lightning Tendrils Damage,Lightning Tendrils
Enchantment Lightning Tendrils Area Of Effect 1,Merciless Labyrinth,8% increased Lightning Tendrils Area of Effect,Lightning Tendrils
Enchantment Lightning Tendrils Area Of Effect 2,Eternal Labyrinth,12% increased Lightning Tendrils Area of Effect,Lightning Tendrils
Enchantment Lightning Tower Trap Additional Beams 1,Eternal Labyrinth,Lightning Spire Trap strikes an additional area,Lightning Spire Trap
Enchantment Lightning Tower Trap Cast Speed 1,Merciless Labyrinth,Lightning Spire Trap has 8% increased Cast Speed,Lightning Spire Trap
Enchantment Lightning Tower Trap Cast Speed 2,Eternal Labyrinth,Lightning Spire Trap has 12% increased Cast Speed,Lightning Spire Trap
Enchantment Lightning Tower Trap Cooldown Speed 1,Merciless Labyrinth,Lightning Spire Trap has 10% increased Cooldown Recovery Speed,Lightning Spire Trap
Enchantment Lightning Tower Trap Cooldown Speed 2,Eternal Labyrinth,Lightning Spire Trap has 15% increased Cooldown Recovery Speed,Lightning Spire Trap
Enchantment Lightning Tower Trap Damage 1,Merciless Labyrinth,Lightning Spire Trap deals 25% increased Damage,Lightning Spire Trap
Enchantment Lightning Tower Trap Damage 2,Eternal Labyrinth,Lightning Spire Trap deals 40% increased Damage,Lightning Spire Trap
Enchantment Lightning Tower Trap Duration 1,Merciless Labyrinth,Lightning Spire Trap has 20% increased Skill Effect Duration,Lightning Spire Trap
Enchantment Lightning Tower Trap Duration 2,Eternal Labyrinth,Lightning Spire Trap has 30% increased Skill Effect Duration,Lightning Spire Trap
Enchantment Lightning Trap Additional Pierce 1,Merciless Labyrinth,Lightning Trap pierces 2 additional Targets,Lightning Trap
Enchantment Lightning Trap Additional Pierce 2,Eternal Labyrinth,Lightning Trap pierces 3 additional Targets,Lightning Trap
Enchantment Lightning Trap Damage 1,Merciless Labyrinth,25% increased Lightning Trap Damage,Lightning Trap
Enchantment Lightning Trap Damage 2,Eternal Labyrinth,40% increased Lightning Trap Damage,Lightning Trap
Enchantment Lightning Trap Penetration 1,Merciless Labyrinth,Lightning Trap Damage Penetrates 6% Lightning Resistance,Lightning Trap
Enchantment Lightning Trap Penetration 2,Eternal Labyrinth,Lightning Trap Damage Penetrates 10% Lightning Resistance,Lightning Trap
Enchantment Lightning Trap Shock Effect 1,Merciless Labyrinth,25% increased Lightning Trap Shock Effect,Lightning Trap
Enchantment Lightning Trap Shock Effect 2,Eternal Labyrinth,40% increased Lightning Trap Shock Effect,Lightning Trap
Enchantment Lightning Warp Cast Speed 1,Merciless Labyrinth,8% increased Lightning Warp Cast Speed,Lightning Warp
Enchantment Lightning Warp Cast Speed 2,Eternal Labyrinth,12% increased Lightning Warp Cast Speed,Lightning Warp
Enchantment Lightning Warp Damage 1,Merciless Labyrinth,25% increased Lightning Warp Damage,Lightning Warp
Enchantment Lightning Warp Damage 2,Eternal Labyrinth,40% increased Lightning Warp Damage,Lightning Warp
Enchantment Lightning Warp Duration 1,Merciless Labyrinth,20% reduced Lightning Warp Duration,Lightning Warp
Enchantment Lightning Warp Duration 2,Eternal Labyrinth,30% reduced Lightning Warp Duration,Lightning Warp
Enchantment Magma Orb Damage 1,Merciless Labyrinth,25% increased Magma Orb Damage,Magma Orb
Enchantment Magma Orb Damage 2,Eternal Labyrinth,40% increased Magma Orb Damage,Magma Orb
Enchantment Magma Orb Num Of Additional Projectiles In Chain 1,Merciless Labyrinth,Magma Orb Chains an additional time,Magma Orb
Enchantment Magma Orb Num Of Additional Projectiles In Chain 2,Eternal Labyrinth,Magma Orb Chains an additional 2 times,Magma Orb
Enchantment Magma Orb Area Of Effect 1,Merciless Labyrinth,8% increased Magma Orb Area of Effect,Magma Orb
Enchantment Magma Orb Area Of Effect 2,Eternal Labyrinth,12% increased Magma Orb Area of Effect,Magma Orb
Enchantment Malevolence Mana Reservation 1,Merciless Labyrinth,Malevolence has 10% reduced Mana Reservation,Malevolence
Enchantment Malevolence Mana Reservation 2,Eternal Labyrinth,Malevolence has 15% reduced Mana Reservation,Malevolence
Enchantment Pestilent Strike Area Of Effect 1,Merciless Labyrinth,Pestilent Strike has 14% increased Area of Effect,Pestilent Strike
Enchantment Pestilent Strike Area Of Effect 2,Eternal Labyrinth,Pestilent Strike has 20% increased Area of Effect,Pestilent Strike
Enchantment Pestilent Strike Damage 1,Merciless Labyrinth,Pestilent Strike deals 25% increased Damage,Pestilent Strike
Enchantment Pestilent Strike Damage 2,Eternal Labyrinth,Pestilent Strike deals 40% increased Damage,Pestilent Strike
Enchantment Pestilent Strike Duration 1,Merciless Labyrinth,Pestilent Strike has 25% increased Duration,Pestilent Strike
Enchantment Pestilent Strike Duration 2,Eternal Labyrinth,Pestilent Strike has 40% increased Duration,Pestilent Strike
Enchantment Mirror Arrow Attack Speed 1,Merciless Labyrinth,Mirror Arrow and Mirror Arrow Clones have 10% increased Attack Speed,Mirror Arrow
Enchantment Mirror Arrow Attack Speed 2,Eternal Labyrinth,Mirror Arrow and Mirror Arrow Clones have 15% increased Attack Speed,Mirror Arrow
Enchantment Mirror Arrow Cooldown Speed 1,Merciless Labyrinth,20% increased Mirror Arrow Cooldown Recovery Speed,Mirror Arrow
Enchantment Mirror Arrow Cooldown Speed 2,Eternal Labyrinth,30% increased Mirror Arrow Cooldown Recovery Speed,Mirror Arrow
Enchantment Mirror Arrow Damage 1,Merciless Labyrinth,Mirror Arrow and Mirror Arrow Clones deal 25% increased Damage,Mirror Arrow
Enchantment Mirror Arrow Damage 2,Eternal Labyrinth,Mirror Arrow and Mirror Arrow Clones deal 40% increased Damage,Mirror Arrow
Enchantment Molten Shell Armour 1,Merciless Labyrinth,100% increased Molten Shell Buff Effect,Molten Shell
Enchantment Molten Shell Armour 2,Eternal Labyrinth,150% increased Molten Shell Buff Effect,Molten Shell
Enchantment Molten Shell Duration 1,Merciless Labyrinth,Molten Shell has 25% increased Skill Effect Duration,Molten Shell
Enchantment Molten Shell Duration 2,Eternal Labyrinth,Molten Shell has 40% increased Skill Effect Duration,Molten Shell
Enchantment Molten Strike Damage 1,Merciless Labyrinth,25% increased Molten Strike Damage,Molten Strike
Enchantment Molten Strike Damage 2,Eternal Labyrinth,40% increased Molten Strike Damage,Molten Strike
Enchantment Molten Strike Num Of Additional Projectiles 1,Merciless Labyrinth,Molten Strike fires an additional Projectile,Molten Strike
Enchantment Molten Strike Num Of Additional Projectiles 2,Eternal Labyrinth,Molten Strike fires 2 additional Projectiles,Molten Strike
Enchantment Molten Strike Area Of Effect 1,Merciless Labyrinth,8% increased Molten Strike Area of Effect,Molten Strike
Enchantment Molten Strike Area Of Effect 2,Eternal Labyrinth,12% increased Molten Strike Area of Effect,Molten Strike
Enchantment Pyroclast Mine Damage 1,Merciless Labyrinth,Pyroclast Mine deals 25% increased Damage,Pyroclast Mine
Enchantment Pyroclast Mine Damage 2,Eternal Labyrinth,Pyroclast Mine deals 40% increased Damage,Pyroclast Mine
Enchantment Pyroclast Mine Additional Projectiles 1,Merciless Labyrinth,Pyroclast Mine fires an additional Projectile,Pyroclast Mine
Enchantment Pyroclast Mine Additional Projectiles 2,Eternal Labyrinth,Pyroclast Mine fires 2 additional Projectiles,Pyroclast Mine
Enchantment Pyroclast Mine Throwing Speed 1,Merciless Labyrinth,Pyroclast Mine has 10% increased Throwing Speed,Pyroclast Mine
Enchantment Pyroclast Mine Throwing Speed 2,Eternal Labyrinth,Pyroclast Mine has 15% increased Throwing Speed,Pyroclast Mine
Enchantment Orb Of Storms Cast Speed 1,Merciless Labyrinth,Orb of Storms has 20% increased Cast Speed,Orb of Storms
Enchantment Orb Of Storms Cast Speed 2,Eternal Labyrinth,Orb of Storms has 30% increased Cast Speed,Orb of Storms
Enchantment Orb Of Storms Damage 1,Merciless Labyrinth,25% increased Orb of Storms Damage,Orb of Storms
Enchantment Orb Of Storms Damage 2,Eternal Labyrinth,40% increased Orb of Storms Damage,Orb of Storms
Enchantment Perforate Area Of Effect 1,Merciless Labyrinth,Perforate has 14% increased Area of Effect,Perforate
Enchantment Perforate Area Of Effect 2,Eternal Labyrinth,Perforate has 20% increased Area of Effect,Perforate
Enchantment Perforate Damage 1,Merciless Labyrinth,Perforate deals 25% increased Damage,Perforate
Enchantment Perforate Damage 2,Eternal Labyrinth,Perforate deals 40% increased Damage,Perforate
Enchantment Perforate Number Of Spikes 1,Merciless Labyrinth,Perforate creates +1 Spike,Perforate
Enchantment Perforate Number Of Spikes 2,Eternal Labyrinth,Perforate creates +2 Spikes,Perforate
Enchantment Phase Run Duration 1,Merciless Labyrinth,24% increased Phase Run Duration,Phase Run
Enchantment Phase Run Duration 2,Eternal Labyrinth,36% increased Phase Run Duration,Phase Run
Enchantment Phase Run Percent Chance To Not Consume Frenzy Charges 1,Merciless Labyrinth,20% chance for Phase Run to increase Duration without removing Frenzy Charges,Phase Run
Enchantment Phase Run Percent Chance To Not Consume Frenzy Charges 2,Eternal Labyrinth,30% chance for Phase Run to increase Duration without removing Frenzy Charges,Phase Run
Enchantment Physical Cascade Additional Cascades 1,Eternal Labyrinth,Seismic Trap releases an additional Wave,Seismic Trap
Enchantment Physical Cascade Cooldown Speed 1,Merciless Labyrinth,Seismic Trap has 10% increased Cooldown Recovery Speed,Seismic Trap
Enchantment Physical Cascade Cooldown Speed 2,Eternal Labyrinth,Seismic Trap has 15% increased Cooldown Recovery Speed,Seismic Trap
Enchantment Physical Cascade Trap Damage 1,Merciless Labyrinth,Seismic Trap deals 25% increased Damage,Seismic Trap
Enchantment Physical Cascade Trap Damage 2,Eternal Labyrinth,Seismic Trap deals 40% increased Damage,Seismic Trap
Enchantment Physical Cascade Trap Duration 1,Merciless Labyrinth,Seismic Trap has 20% increased Skill Effect Duration,Seismic Trap
Enchantment Physical Cascade Trap Duration 2,Eternal Labyrinth,Seismic Trap has 30% increased Skill Effect Duration,Seismic Trap
Enchantment Plague Bearer Poison Dot Multiplier While Aura Active 1,Merciless Labyrinth,Plague Bearer Buff grants +12% to Poison Damage over Time Multiplier while Infecting,Plague Bearer
